"species_latin","ev_nytt_navn","latinsknavnid","stadium","indetermined","alien","blacklist_cat","native","last_updated"
"Dienerella filiformis","",7894,"adult",f,f,"",f,"2018-10-05 09:12:00.571172"
"Dienerella vincenti","",7897,"adult",f,f,"",f,"2018-10-05 09:12:12.773586"
"Diplocephalus cristatus","",2722,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Diplopoda spp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Diptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Diptera spp. juv.","",,"larvae and pupae",f,f,"",f,"2018-06-26 10:18:18.509006"
"Dyschirius thoracicus","",5725,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Dyschirius tristis","",5726,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Elaphropus haemorrhoidalis","",,"adult",f,f,"",f,"2018-10-05 09:14:49.473676"
"Elaphropus quadrisignatus","",169733,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Elateridae spp. juv","",,"larvae",f,f,"",f,"2018-06-26 10:18:18.509006"
"Embioptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Entomobrya cf. lanuginosa (Nicolet, 1841)","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Entomobrya nicoleti (Lubbock, 1867)","",15592,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Entomobrya nigrocincta Denis, 1923","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Entomobrya nigrocincta/multifasciata","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Entomobrya sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Entomobrya sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Ephistemus globulus","",7652,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Erichsonius signaticornis","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Erigone atra","",2743,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Erigone dentosa","",170277,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Euplectus karsteni","",13453,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Eupteryx decemnotata","",111186,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Folsomia candida (Willem, 1902)","",15372,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia fimetaria (Linnaeus, 1758)","",15367,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia kuznetsovae Potapov & Taskaeva, 2009","",119988,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia litsteri Bagnall, 1939","",15379,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia manolachei Bagnall, 1939","",15390,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia quadrioculata (Tullberg, 1871)","",15388,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomia similis Bagnall, 1939","",15400,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Folsomides centralis (Denis, 1931)","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Folsomides parvulus Stach, 1922","",15428,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Folsomina onychiurina  Denis, 1931","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Formica rufa (rød skogmaur)","",119214,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Friesea claviseta Axelson, 1900","",15143,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Friesea mirabilis (Tullberg, 1871)","",15139,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Friesea sp. 0+0 oc","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Friesea truncata Cassagnau, 1958","",15142,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Gabrius appendiculatus","",12782,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Gabrius breviventer","",12786,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Gabrius sp. (hunner)","",,"adult",f,f,"",f,"2018-10-05 09:31:45.668278"
"Gabronthus thermarum","",12802,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Gastropoda spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Gnathonarium dentatum","",2758,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Gongylidiellum latebricola","",2764,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Gyrohypnus angustatus","",12972,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Harpalus affinis","",5397,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Harpalus rubripes","",5416,"adult",f,f,"",f,"2018-10-05 09:32:15.881607"
"Harpalus tardus","",5423,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Helophorus brevipalpis","",10913,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Helophorus obscurus","",10925,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Helophorus porculus","",169734,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Hemisotoma ponticus (Stach, 1947)","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Hemisotoma scapellifer (Gisin, 1955)","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Hemisotoma thermophila (Axelson, 1990)","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Heteromurus major Moniez, 1889","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Heteroptera spp. juv.","",,"nymph",t,f,"",f,"2018-06-26 10:18:18.509006"
"Holoparamecus cf. niger","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Hydrosmecta leptotyphloides","",,"adult",f,f,"",f,"2018-10-05 09:36:15.677303"
"Hypogastrura assimilis Krausbauer, 1898","",15070,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Hypogastrura purpurescens (Lubbock, 1867)","",15073,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Hypoponera ?eduardi","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Ischnocera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Ischnosoma bergrothi","",13124,"adult",f,f,"",f,"2018-10-05 09:36:47.12044"
"Isotoma anglicana Lubbock, 1862","",15532,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotoma caerulea Bourlet, 1839","",15531,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotoma sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Isotoma viridis Bourlet, 1839","",15528,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotomiella minor (Schäffer, 1896)","",15411,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotomurus graminis Fjellberg, 2007","",15484,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotomurus maculatus (Schäffer, 1896)","",15476,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotomurus palustris (Müller, 1776)","",15474,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Isotomurus pseudopalustris Carapelli et al., 2001","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Isotomurus sp. juv.","",,"juvenile",t,f,"",f,"2018-06-26 10:18:18.509006"
"Kleidocerys resedae","",110306,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lasius fuliginosus (svart tremaur)","",119200,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lasius niger (svart jordmaur)","",119188,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lasius platythorax (skogjordmaur)","",119189,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Latridius porcatus","",7916,"adult",f,f,"",f,"2018-10-05 09:37:12.364126"
"Leiodes sp.","",,"adult",t,f,"",f,"2018-06-26 10:18:18.509006"
"Lepidocyrtus cf. lanuginosus (Gmelin, 1790)","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lepidocyrtus pallidus Reuter, 1890","",15605,"adult",f,t,"LO",f,"2018-06-26 10:18:18.509006"
"Lepidocyrtus sp.","",,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lepidoptera spp.","",,"adult",f,f,"",f,"2018-06-26 10:18:18.509006"
"Lepidoptera spp. juv.","",,"larvae",f,f,"",f,"2018-06-26 10:18:18.509006"
"Lesteva longoelytrata","",12261,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Linepithema humile","",119174,"adult",f,t,"HI",f,"2018-06-26 10:18:18.509006"
"Linyphidae spp. juv.","",,"juvenile",f,f,"",f,"2018-06-26 10:18:18.509006"
"Lochmaea suturalis (lyngbladbille)","",7205,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Lygus rugulipennis","",109856,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mecinus pascuorum","",8721,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Medon sp.","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Megalothorax minimus Willem, 1900","",15659,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Megasternum concinnum","",11028,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Megophthalmus scanicus","",111035,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Melaophthalma fuscipennis","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Meotica cf. marchica","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Meotica sp.","",,"adult",t,t,"",f,"2018-06-26 10:18:18.509006"
"Meotica sp. A","",,"adult",f,f,"",f,"2018-10-05 09:37:52.266307"
"Meotica sp. B","",,"adult",f,f,"",f,"2018-10-05 09:38:01.881617"
"Mermessus trilobatus/denticulatus","",,"adult",t,t,"",f,"2018-10-05 09:58:09.892088"
"Mesaphorura critica Ellis, 1976","",15321,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura delamarei Weiner, 1991","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Mesaphorura hylophila Rusek, 1982","",15322,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura italica (Rusek, 1971)","",15317,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura jarmilae Rusek, 1982","",15324,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura jevanica Rusek, 1996","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
"Mesaphorura jirii Rusek, 1982","",15323,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura krausbaueri Börner, 1901","",15311,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura macrochaeta Rusek, 1976","",15310,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura pongei Rusek, 1982","",15314,"adult",f,f,"",t,"2018-06-26 10:18:18.509006"
"Mesaphorura simoni Jordana & Arbea, 1994","",,"adult",f,t,"",f,"2018-06-26 10:18:18.509006"
