"id","latinsknavnid","projectid","phylum","class","subclass","order","underorder","family","old_description","genus","species","species_latin","stadium","indetermined","alien","blacklist_cat","native","last_updated_by","last_updated","autorstring"
"d51e54a6-c86d-11e8-b36f-001cc4ddf696",,"d51e5596-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Corticaria","cf.","Corticaria cf. lapponica","adult",f,f,"",f,"jens.astrom","2018-10-05 09:11:08.732305",""
"f40452d0-c86d-11e8-b36f-001cc4ddf696",7894,"f40453c0-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Dienerella","filiformis","Dienerella filiformis","adult",f,f,"",f,"jens.astrom","2018-10-05 09:12:00.571172",""
"fb4a427a-c86d-11e8-b36f-001cc4ddf696",7897,"fb4a4360-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Dienerella","vincenti","Dienerella vincenti","adult",f,f,"",f,"jens.astrom","2018-10-05 09:12:12.773586",""
"05d7ee58-ea7a-11e8-9c33-001cc4ddf696",,"05d7ef3e-ea7a-11e8-9c33-001cc4ddf696","","","","","","","","Mermessus","denticulatus","Mermessus denticulatus","adult",f,t,"",f,"jens.astrom","2018-11-17 16:04:03.974463",""
"76178fd0-ea79-11e8-9c33-001cc4ddf696",,"761790ac-ea79-11e8-9c33-001cc4ddf696","","","","","","","","Mermessus","trilobatus","Mermessus trilobatus","adult",f,t,"",f,"jens.astrom","2018-11-17 16:07:07.655152",""
"a1184c6e-ea7a-11e8-9c33-001cc4ddf696",125267,"a1184d54-ea7a-11e8-9c33-001cc4ddf696","","","","","","","","Steatoda","bipunctata","Steatoda bipunctata","adult",f,f,"",t,"jens.astrom","2018-11-17 16:08:24.443145",""
"1767e012-c86d-11e8-b36f-001cc4ddf696",,"1767e102-c86d-11e8-b36f-001cc4ddf696","","","","","","","","Atheta","sp.","Atheta sp. B","adult",f,f,"",f,"jens.astrom","2018-10-05 13:52:34.236472",""
"5be1422e-ea69-11e8-8186-001cc4ddf696",15254,"5be1431e-ea69-11e8-8186-001cc4ddf696","","","","","","","","Protaphorura","subuliginata","Protaphorura subuliginata","adult",f,f,"",f,"jens.astrom","2018-11-17 14:04:46.875268",""
"ac74e446-ea7a-11e8-9c33-001cc4ddf696",,"ac74e52c-ea7a-11e8-9c33-001cc4ddf696","","","","","","","","Xysticus","sp.","Xysticus sp.","adult",f,f,"",f,"jens.astrom","2018-11-17 16:08:43.504899",""
"c2afd832-c86b-11e8-b36f-001cc4ddf696",5365,"c2afd922-c86b-11e8-b36f-001cc4ddf696","","","","","","","","Acupalpus","brunnipes","Acupalpus brunnipes","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"e3fa84a6-c86b-11e8-b36f-001cc4ddf696",,"e3fa858c-c86b-11e8-b36f-001cc4ddf696","","","","","","","","Acupalpus","sp.","Acupalpus sp.","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"1db9df02-c86c-11e8-b36f-001cc4ddf696",,"1db9dfe8-c86c-11e8-b36f-001cc4ddf696","","","","","","","","Amischa","cf.","Amischa cf. forcipata","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"1d2a787e-c86e-11e8-b36f-001cc4ddf696",,"1d2a7964-c86e-11e8-b36f-001cc4ddf696","","","","","","","","Elaphropus","haemorrhoidalis","Elaphropus haemorrhoidalis","adult",f,t,"",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d625c046-2390-11e8-b8e2-001cc4ddf696",15246,"d625c0e6-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Entognata","","Collembola","","Onychiuridae","orden Collembola (spretthaler)","Thalassaphorura","encarpata","Thalassaphorura encarpata","adult",f,t,"LO",f,"jens.astrom","2018-11-24 10:54:32.390848","(Denis, 1931)"
"d6284910-2390-11e8-b8e2-001cc4ddf696",,"d62849b0-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Tenebrionidae (skyggebiller)","orden Coleoptera (biller)","Boromorphus","cf.","Boromorphus cf. italicus","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848","italicus"
"d6283614-2390-11e8-b8e2-001cc4ddf696",169741,"d62836b4-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Coleoptera","","Latridiidae (muggbiller)","orden Coleoptera (biller)","Melanophthalma","fuscipennis","Melanophthalma fuscipennis","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"d628bf12-2390-11e8-b8e2-001cc4ddf696",157423,"d628bfa8-2390-11e8-b8e2-001cc4ddf696","Arthropoda","Insecta","","Hymenoptera","","Formicidae (maur)","orden Hymenoptera (veps)","Plagiolepis","pygmaea","Plagiolepis pygmaea","adult",f,t,"NR",f,"jens.astrom","2018-11-24 10:54:32.390848",""
"b663e8ac-c870-11e8-b791-001cc4ddf696",,"b663e992-c870-11e8-b791-001cc4ddf696","","","","","","","","Gabrius","sp.","Gabrius sp. (hunner)","adult",f,f,"",f,"jens.astrom","2018-10-05 09:31:45.668278",""
"c865f9aa-c870-11e8-b791-001cc4ddf696",5416,"c865fa90-c870-11e8-b791-001cc4ddf696","","","","","","","","Harpalus","rubripes","Harpalus rubripes","adult",f,f,"",f,"jens.astrom","2018-10-05 09:32:15.881607",""
"5753e370-c871-11e8-b791-001cc4ddf696",,"5753e460-c871-11e8-b791-001cc4ddf696","","","","","","","","Hydrosmecta","leptotyphloides","Hydrosmecta leptotyphloides","adult",f,f,"",f,"jens.astrom","2018-10-05 09:36:15.677303",""
"6a11bbf4-c871-11e8-b791-001cc4ddf696",13124,"6a11bce4-c871-11e8-b791-001cc4ddf696","","","","","","","","Ischnosoma","bergrothi","Ischnosoma bergrothi","adult",f,f,"",f,"jens.astrom","2018-10-05 09:36:47.12044",""
"791d9e38-c871-11e8-b791-001cc4ddf696",7916,"791d9f28-c871-11e8-b791-001cc4ddf696","","","","","","","","Latridius","porcatus","Latridius porcatus","adult",f,f,"",f,"jens.astrom","2018-10-05 09:37:12.364126",""
"90e63476-c871-11e8-b791-001cc4ddf696",,"90e63570-c871-11e8-b791-001cc4ddf696","","","","","","","","Meotica","sp.","Meotica sp. A","adult",f,f,"",f,"jens.astrom","2018-10-05 09:37:52.266307",""
"96a1616a-c871-11e8-b791-001cc4ddf696",,"96a16264-c871-11e8-b791-001cc4ddf696","","","","","","","","Meotica","sp.","Meotica sp. B","adult",f,f,"",f,"jens.astrom","2018-10-05 09:38:01.881617",""
"9ce49d6c-c871-11e8-b791-001cc4ddf696",13138,"9ce49e52-c871-11e8-b791-001cc4ddf696","","","","","","","","Mycetoporus","baudueri","Mycetoporus baudueri","adult",f,f,"",f,"jens.astrom","2018-10-05 09:38:12.388532",""
"4d7d4e62-c872-11e8-b791-001cc4ddf696",8880,"4d7d4f48-c872-11e8-b791-001cc4ddf696","","","","","","","","Otiorhynchus","sulcatus","Otiorhynchus sulcatus","adult",f,f,"",f,"jens.astrom","2018-10-05 09:43:08.668245",""
"5bd035a6-c872-11e8-b791-001cc4ddf696",,"5bd03696-c872-11e8-b791-001cc4ddf696","","","","","","","","Oxypoda","spp.","Oxypoda spp.","adult",f,f,"",f,"jens.astrom","2018-10-05 09:43:32.69967",""
"675053ac-c872-11e8-b791-001cc4ddf696",,"67505492-c872-11e8-b791-001cc4ddf696","","","","","","","","Parascythopus","intrusus","Parascythopus intrusus","adult",f,f,"",f,"jens.astrom","2018-10-05 09:43:51.994215",""
"226ea35a-c873-11e8-b791-001cc4ddf696",13213,"226ea44a-c873-11e8-b791-001cc4ddf696","","","","","","","","Tachyporus","chrysomelinus","Tachyporus chrysomelinus","adult",f,f,"",f,"jens.astrom","2018-10-05 09:49:05.926786",""
"2be21a52-c873-11e8-b791-001cc4ddf696",7729,"2be21b38-c873-11e8-b791-001cc4ddf696","","","","","","","","Telmatophilus","typhae","Telmatophilus typhae","adult",f,f,"",f,"jens.astrom","2018-10-05 09:49:21.783031",""
"35299874-c873-11e8-b791-001cc4ddf696",11520,"35299950-c873-11e8-b791-001cc4ddf696","","","","","","","","Tinotus","morion","Tinotus morion","adult",f,f,"",f,"jens.astrom","2018-10-05 09:49:37.351063",""
"3f2fe620-c873-11e8-b791-001cc4ddf696",11841,"3f2fe710-c873-11e8-b791-001cc4ddf696","","","","","","","","Trichiusa","immigrata","Trichiusa immigrata","adult",f,f,"",f,"jens.astrom","2018-10-05 09:49:54.169588",""
"6b18036c-c873-11e8-b791-001cc4ddf696",,"6b180452-c873-11e8-b791-001cc4ddf696","","","","","","","","Xantholinus","sp.","Xantholinus sp. (hunner)","adult",f,f,"",f,"jens.astrom","2018-10-05 09:51:07.832758",""
"9be6df0e-eb37-11e8-925e-001cc4ddf696",,"9be6dff4-eb37-11e8-925e-001cc4ddf696","","","","Hymenoptera","","Formicidae (maur)","","Temnothorax","sp.","Temnothorax sp.","adult",f,f,"",f,"jens.astrom","2018-11-18 14:41:10.612508",""
"af954aea-eb37-11e8-925e-001cc4ddf696",156721,"af954bd0-eb37-11e8-925e-001cc4ddf696","","","","Hymenoptera","","Formicidae (maur)","","Hypoponera","sp.","Hypoponera sp.","adult",f,f,"",f,"jens.astrom","2018-11-18 14:41:43.63227",""
"028c5c8e-eb38-11e8-925e-001cc4ddf696",,"028c5d74-eb38-11e8-925e-001cc4ddf696","","","","Hemiptera","","","","Aucheorrhyncha","spp.","Aucheorrhyncha spp.","adult",f,f,"",f,"jens.astrom","2018-11-18 14:44:02.824669",""
"3a20f31c-eb38-11e8-925e-001cc4ddf696",,"3a20f3f8-eb38-11e8-925e-001cc4ddf696","","","","Thysanoptera","","","","Thysanoptera","spp.","Thysanoptera spp. juv.","adult",f,f,"",f,"jens.astrom","2018-11-18 14:45:36.073122",""
"70cb50a6-eb38-11e8-925e-001cc4ddf696",,"70cb518c-eb38-11e8-925e-001cc4ddf696","","","","Heteroptera","","","","Heteroptera","spp.","Heteroptera spp.","adult",f,f,"",f,"jens.astrom","2018-11-18 14:47:07.786596",""
