"species_latin","latinsknavnid","order","alien","blacklist_cat"
"Perapion marchicum",8233,"Coleoptera",f,""
"Pheidole pallidula",156978,"Hymenoptera",t,"NR"
"Philonthus cognatus",12837,"Coleoptera",f,""
"Plagiolepis pygmaea",157423,"Hymenoptera",t,"NR"
"Plagiolepis vindobonensis",169216,"Hymenoptera",t,"NR"
"Platystethus capito",12415,"",t,""
"Platystethus degener",169737,"Coleoptera",t,"LO"
"Pleurophorus caesus",10669,"Coleoptera",t,"NR"
"Polyxenus lagurus",48339,"Diplopoda",f,""
"Ponera testacea",169230,"Hymenoptera",t,"NR"
"Pongeiella falca",120073,"Collembola",f,""
"Proisotoma minuta",15453,"Collembola",f,""
"Proisotoma subminuta",15455,"Collembola",t,"LO"
"Protaphorura armata",15250,"Collembola",f,""
"Protaphorura cancellata",15256,"Collembola",f,""
"Protaphorura fimata",15272,"Collembola",t,"LO"
"Protaphorura pulvinata",,"Collembola",t,""
"Protaphorura sp. juv.",,"Collembola",f,""
"Protaphorura subuliginata",15254,"",f,""
"Protapion fulvipes",8346,"Coleoptera",f,""
"Proteinus laevigatus",12615,"Coleoptera",f,""
"Proteinus ovalis",12616,"",t,""
"Pseudachorutes parvulus",15158,"Collembola",f,""
"Pseudisotoma monochaeta",15510,"Collembola",f,""
"Pseudisotoma sensibilis",15508,"Collembola",f,""
"Pseudosinella alba",15608,"",f,""
"Pseudosinella sexoculata",15611,"Collembola",f,""
"Pseudosinella sp.",,"Collembola",t,""
"Psocoptera spp.",,"Psocoptera",f,""
"Ptenidium nitidum",11327,"Coleoptera",f,""
"Quedius semiaeneus",12946,"",t,""
"Rabigus pullus",169738,"Coleoptera",t,"NR"
"Rhinoncus perpendicularis",8558,"Coleoptera",f,""
"Schistoglossa curtipennis",11829,"Coleoptera",f,""
"Scolopostethus affinis",110365,"Hemiptera",f,""
"Scopaeus cf. ryei",,"Coleoptera",t,"NR"
"Scopaeus laevigatus",12576,"Coleoptera",f,""
"Scopaeus sp. A",,"Coleoptera",t,""
"Sericoderus lateralis",7564,"Coleoptera",f,""
"Silometopus ambiguus",2926,"Araneae",f,""
"Simplocaria semistriata",10055,"Coleoptera",f,""
"Sinella tenebricosa",15577,"Collembola",t,"LO"
"Sminthurides sp. juv.",,"Collembola",f,""
"Sminthurinus elegans",15710,"Collembola",f,""
"Sminthurinus lawrencei",,"Collembola",t,""
