species_latin,species_norsk,autorstreng,native,alien
Lavandula,Lavendel,NA,TRUE,FALSE
Lavandula angustifolia,NA,NA,TRUE,FALSE
Lepidotheca suaveolens,tunbalderbrå,NA,TRUE,FALSE
Leucophyta brownii,NA,NA,TRUE,FALSE
Ligustrum,Ligusterslekta,NA,TRUE,FALSE
Lycopersicon esculentum,NA,NA,TRUE,FALSE
Lythrum salicaria,kattehale,NA,TRUE,FALSE
Magnolia sieboldii,Junimagnolia,NA,TRUE,FALSE
Mandevilla,NA,NA,TRUE,FALSE
Mandevilla sanderi,NA,NA,TRUE,FALSE
Matricaria chamomilla,kamilleblom,NA,TRUE,FALSE
Matricaria discoidea,NA,NA,TRUE,FALSE
Matricaria perforata,balderbrå,NA,TRUE,FALSE
Medicago,NA,NA,TRUE,FALSE
Medicago polymorpha,NA,NA,TRUE,FALSE
Mercurialis annua,ugrasbingel,NA,FALSE,TRUE
Mesembryanthemum criniflorum,NA,NA,TRUE,FALSE
Microbiota decussata,Småbiota,NA,TRUE,FALSE
Miscanthus,NA,NA,TRUE,FALSE
Miscanthus sinensis,NA,NA,TRUE,FALSE
Montia fontana,NA,NA,FALSE,TRUE
Nerium oleander,Oleander,NA,TRUE,FALSE
Ocimum basilicum,Basilikum,NA,TRUE,FALSE
Olea cf. europaea,NA,NA,FALSE,TRUE
Olea europaea,Oliven,NA,TRUE,FALSE
Omalotheca sylvatica,Flaskebørste,NA,TRUE,FALSE
Origanum vulgare,Oregano,NA,TRUE,FALSE
Osteospermum,NA,NA,TRUE,FALSE
Oxalis corniculata,krypgjøkesyre,NA,FALSE,TRUE
Oxalis corniculata var. atropurpurea,Trompettre,NA,TRUE,FALSE
Oxalis dillenii,skjermgjøkesyre,NA,FALSE,TRUE
Oxybasis glaucum,blåmelde,NA,TRUE,FALSE
Oxybasis urbica,bymelde,NA,FALSE,TRUE
Oxycoccus,Tranebærslekta,NA,FALSE,TRUE
Paeonia,Pion,NA,TRUE,FALSE
Panicum,NA,NA,TRUE,FALSE
Panicum capillaceum,Dvergsypress,NA,FALSE,TRUE
Panicum capillare,Buskkinapalme/dvergpalme,NA,FALSE,TRUE
Panicum repens,Dvergpalme,NA,FALSE,TRUE
Panicum virgatum,NA,NA,TRUE,FALSE
Parietaria cf. officinalis,NA,NA,TRUE,FALSE
Parietaria officinalis,legeblidnesle,NA,FALSE,TRUE
Parthenocissus tricuspidata,NA,NA,TRUE,FALSE
Passiflora caeruela,Pasjonsblomst,NA,TRUE,FALSE
Persicaria lapathifolia,NA,NA,TRUE,FALSE
Persicaria lapathifolia ssp. lapathifolia,NA,NA,TRUE,FALSE
Persicaria lapathifolia ssp. mørkegrønn V,Sitrus,NA,TRUE,FALSE
Persicaria lapathifolia ssp. pallida,grønt hønsegras,NA,TRUE,FALSE
Persicaria maculosa,hønsegras,NA,TRUE,FALSE
Philadelphus coronarius,Duftskjærsmin,NA,TRUE,FALSE
Phlo subulata,NA,NA,TRUE,FALSE
Phoenix canariensis,NA,NA,TRUE,FALSE
Phyllostachys aureosulcata,Grønnfuret bambus,NA,TRUE,FALSE
Picea,Gran,NA,TRUE,FALSE
Picea abies,NA,NA,TRUE,FALSE
Picea glauca,Hvitgran,NA,TRUE,FALSE
Pinus sylvestris,NA,NA,TRUE,FALSE
Plantago major ssp. major,ugrasgroblad,NA,TRUE,FALSE
Plante latin,Plante Norsk,NA,TRUE,FALSE
Platanus x acerifolia,NA,NA,FALSE,TRUE
Poa annua,tunrapp,NA,TRUE,FALSE
Poa nemoralis,lundrapp,NA,TRUE,FALSE
Polycarpon tetraphyllum,tusenfrø,NA,FALSE,TRUE
Polygala myrtifolia,NA,NA,TRUE,FALSE
Polygonum arenastrum,tungras,NA,TRUE,FALSE
Polygonum aviculare ssp. Microspermum,tomtegras,NA,TRUE,FALSE
Portulaca oleracea,portulakk,NA,TRUE,FALSE
Portulaca oleraceae ssp. xx,NA,NA,TRUE,FALSE
Portulaca oleracea ssp. oleracea,ugrasportulakk,NA,FALSE,TRUE
Portulaca oleracea ssp. sativa,matportulakk,NA,TRUE,FALSE
Prunus,Kirsebærslekten,NA,TRUE,FALSE
Prunus avium,Morell,NA,TRUE,FALSE
Prunus domestica,Plomme,NA,TRUE,FALSE
Prunus laurocerasus,Laurbærhegg,NA,TRUE,FALSE
"Prunus, Ribes, Rubus",Div,NA,TRUE,FALSE
Prunus triloba 'Rosimendel',Rosemandel,NA,TRUE,FALSE
Quercus,Eik,NA,TRUE,FALSE
Radiola linoides,dverglin,NA,TRUE,FALSE
Ranunculus acris,bakkesoleie,NA,TRUE,FALSE
Ranunculus sceleratus,tiggersoleie,NA,TRUE,FALSE
Raphanus raphanistrum,villreddik,NA,TRUE,FALSE
Rar frøplante,NA,NA,TRUE,FALSE
Rhododendron,Rhododendronslekta,NA,TRUE,FALSE
Ribes,NA,NA,TRUE,FALSE
Ribes alpinum,Alperips,NA,TRUE,FALSE
Ribes rubrum,hagerips,NA,FALSE,TRUE
Ricinus communis,NA,NA,TRUE,FALSE
Rorippa cf. austriaca,NA,NA,FALSE,TRUE
Rorippa palustris,brønnkarse,NA,TRUE,FALSE
Rorippa sylvestris,veikarse,NA,TRUE,FALSE
Rosmarinus officinalis,Rosmarin,NA,FALSE,TRUE
Rubus idaeus,Bringebær,NA,TRUE,FALSE
