species_latin,stadium,indetermined,autorstring
Hypoponera cf. eduardi,adult,FALSE,NA
Hypoponera sp.,adult,TRUE,NA
Ischnocera spp.,adult,TRUE,NA
Ischnosoma bergrothi,adult,FALSE,NA
Isotoma anglicana,adult,FALSE,"Lubbock, 1862"
Isotoma caerulea,adult,FALSE,"Bourlet, 1839"
Isotoma sp. juv.,juvenile,TRUE,NA
Isotoma viridis,adult,FALSE,"Bourlet, 1839"
Isotomiella minor,adult,FALSE,"(Schäffer, 1896)"
Isotomodes productus,adult,FALSE,NA
Isotomurus graminis,adult,FALSE,"Fjellberg, 2007"
Isotomurus maculatus,adult,FALSE,"(Schäffer, 1896)"
Isotomurus palustris,adult,FALSE,"(Müller, 1776)"
Isotomurus pseudopalustris,adult,FALSE,"Carapelli et al., 2001"
Isotomurus sp. juv.,juvenile,TRUE,NA
Kleidocerys resedae,adult,FALSE,NA
Lasius fuliginosus,adult,FALSE,NA
Lasius niger,adult,FALSE,NA
Lasius platythorax,adult,FALSE,NA
Latridius porcatus,adult,FALSE,NA
Leiodes sp.,adult,TRUE,NA
Lepidocyrtus cf. lanuginosus,adult,FALSE,"lanuginosus (Gmelin, 1790)"
Lepidocyrtus pallidus,adult,FALSE,"Reuter, 1890"
Lepidocyrtus sp.,adult,TRUE,NA
Lepidoptera spp.,adult,TRUE,NA
Lepidoptera spp. juv.,larvae,TRUE,NA
Lesteva longoelytrata,adult,FALSE,NA
Linepithema humile,adult,FALSE,NA
Linyphidae spp. juv.,juvenile,TRUE,NA
Lochmaea suturalis,adult,FALSE,NA
Lygus rugulipennis,adult,FALSE,NA
Mecinus pascuorum,adult,FALSE,NA
Medon sp.,adult,TRUE,NA
Megalothorax minimus,adult,FALSE,"Willem, 1900"
Megasternum concinnum,adult,FALSE,NA
Megophthalmus scanicus,adult,FALSE,NA
Melanophthalma fuscipennis,adult,FALSE,NA
Meotica cf. marchica,adult,FALSE,NA
Meotica sp.,adult,TRUE,NA
Meotica sp. A,adult,TRUE,NA
Meotica sp. B,adult,TRUE,NA
Mermessus denticulatus,adult,FALSE,NA
Mermessus trilobatus,adult,FALSE,NA
Mermessus trilobatus/denticulatus,adult,TRUE,NA
Mesaphorura critica,adult,FALSE,"Ellis, 1976"
Mesaphorura delamarei,adult,FALSE,"Weiner, 1991"
Mesaphorura hylophila,adult,FALSE,"Rusek, 1982"
Mesaphorura italica,adult,FALSE,"(Rusek, 1971)"
Mesaphorura jarmilae,adult,FALSE,"Rusek, 1982"
Mesaphorura jevanica,adult,FALSE,"Rusek, 1996"
Mesaphorura jirii,adult,FALSE,"Rusek, 1982"
Mesaphorura krausbaueri,adult,FALSE,"Börner, 1901"
Mesaphorura macrochaeta,adult,FALSE,"Rusek, 1976"
Mesaphorura pongei,adult,FALSE,"Rusek, 1982"
Mesaphorura simoni,adult,FALSE,"Jordana & Arbea, 1994"
Mesaphorura sp. juv.,juvenile,TRUE,NA
Mesaphorura tenuisensillata,adult,FALSE,"Rusek, 1974"
Mesaphorura yosii,adult,FALSE,"(Rusek, 1971)"
Metabletus truncatellus,adult,FALSE,NA
Metopsia clypeata,adult,FALSE,NA
Micranurida pygmaea,adult,FALSE,"Börner, 1901"
Micranurophorus musci,adult,FALSE,"Bernard, 1977"
