container,subsample,species_latin,amount
68,4,Hemisotoma thermophila,1088
68,5,Ceratophysella engadinensis,1008
68,5,Mesaphorura macrochaeta,4
68,5,Parisotoma notabilis,44
68,5,Isotomurus sp. juv.,380
68,6,Micranurida pygmaea,2
68,6,Thalassaphorura encarpata,134
68,6,Mesaphorura macrochaeta,35
68,6,Mesaphorura tenuisensillata,1
68,6,Mesaphorura yosii,16
68,6,Folsomides parvulus,2
68,6,Parisotoma notabilis,8
68,6,Isotomurus sp. juv.,38
68,6,Entomobrya nigrocincta/multifasciata,1
68,7,Thalassaphorura encarpata,2
68,7,Mesaphorura macrochaeta,24
68,7,Folsomia candida,2
68,7,Orchesella cincta,2
68,8,Mesaphorura macrochaeta,12
68,8,Mesaphorura sp. juv.,2
68,8,Folsomides centralis,2
68,8,Isotomurus sp. juv.,2
68,9,Hypogastrura assimilis,220
68,9,Ceratophysella engadinensis,4
68,9,Mesaphorura macrochaeta,4
68,9,Proisotoma minuta,4
68,9,Proisotoma subminuta,4
68,9,Parisotoma notabilis,8
68,9,Isotomurus sp. juv.,12
68,10,Micranurida pygmaea,4
68,10,Mesaphorura macrochaeta,8
68,10,Mesaphorura yosii,4
68,10,Proisotoma subminuta,96
68,10,Parisotoma notabilis,128
68,10,Isotomurus sp. juv.,48
69,1,Ceratophysella sp. juv.,4
69,1,Folsomia similis,860
69,1,Hemisotoma thermophila,140
69,1,Isotomurus maculatus,4
69,1,Entomobrya sp.,8
69,2,Friesea mirabilis,4
69,2,Friesea claviseta,8
69,2,Thalassaphorura encarpata,148
69,2,Folsomia similis,432
69,2,Proisotoma subminuta,376
69,2,Parisotoma notabilis,28
69,2,Isotomurus sp. juv.,192
69,2,Entomobrya sp.,24
69,2,Sminthurinus trinotatus,12
69,3,Thalassaphorura encarpata,8
69,3,Folsomia similis,680
69,3,Proisotoma minuta,4
69,3,Hemisotoma thermophila,4
69,3,Isotomurus pseudopalustris,20
69,3,Isotomurus sp. juv.,184
69,3,Entomobrya sp.,4
69,3,Sminthurinus trinotatus,4
69,4,Ceratophysella sp. juv.,16
69,4,Folsomia similis,16
69,4,Proisotoma minuta,1440
69,4,Isotomurus sp. juv.,32
69,4,Entomobrya nigrocincta/multifasciata,16
69,4,Entomobrya sp.,128
69,4,Sphaeridia pumilis,32
69,5,Ceratophysella engadinensis,6
69,5,Protaphorura sp. juv.,2
69,5,Mesaphorura yosii,70
69,5,Folsomia similis,2
69,5,Proisotoma minuta,16
69,5,Hemisotoma thermophila,250
69,5,Entomobrya cf. lanuginosa,10
69,6,Ceratophysella engadinensis,28
69,6,Protaphorura sp. juv.,60
69,6,Mesaphorura yosii,4
69,6,Hemisotoma thermophila,540
69,6,Entomobrya sp.,4
69,7,Ceratophysella engadinensis,8
69,7,Friesea claviseta,16
69,7,Thalassaphorura encarpata,88
69,7,Folsomia similis,336
69,7,Proisotoma subminuta,224
69,7,Parisotoma notabilis,48
69,7,Isotomurus sp. juv.,8
69,7,Entomobrya sp.,24
69,7,Sminthurinus trinotatus,8
69,8,Proisotoma minuta,1184
69,8,Hemisotoma thermophila,32
69,8,Entomobrya sp.,16
69,8,Sphaeridia pumilis,16
69,8,Sminthurinus trinotatus,16
69,9,Ceratophysella gibbosa,32
69,9,Mesaphorura macrochaeta,32
69,9,Proisotoma minuta,2240
69,9,Hemisotoma thermophila,224
69,9,Isotomurus sp. juv.,64
69,9,Sphaeridia pumilis,32
69,10,Folsomia similis,880
69,10,Proisotoma minuta,48
69,10,Hemisotoma thermophila,128
69,10,Entomobrya sp.,16
70,1,Thalassaphorura encarpata,68
70,1,Mesaphorura krausbaueri,12
70,1,Mesaphorura hylophila,12
70,1,Folsomia similis,4
70,1,Parisotoma notabilis,1860
70,2,Thalassaphorura encarpata,4
70,2,Parisotoma notabilis,220
70,2,Sinella tenebricosa,8
70,2,Lepidocyrtus pallidus,464
70,3,Ceratophysella engadinensis,16
70,3,Thalassaphorura encarpata,6
70,3,Folsomia candida,2
70,3,Folsomides centralis,460
70,3,Proisotoma minuta,57
70,3,Proisotoma subminuta,57
70,3,Hemisotoma thermophila,347
70,3,Parisotoma notabilis,6
70,3,Lepidocyrtus pallidus,40
70,4,Ceratophysella engadinensis,4
70,4,Folsomides centralis,1
70,4,Proisotoma minuta,2
70,4,Parisotoma notabilis,1
70,4,Isotomurus sp. juv.,2
70,4,Entomobrya sp.,1
70,4,Lepidocyrtus pallidus,2
70,5,Brachystomella parvula,88
70,5,Thalassaphorura encarpata,8
70,5,Mesaphorura macrochaeta,8
70,5,Hemisotoma thermophila,112
70,5,Parisotoma notabilis,48
70,5,Isotomurus sp. juv.,72
70,5,Entomobrya sp.,16
70,6,Ceratophysella engadinensis,760
70,6,Mesaphorura macrochaeta,4
70,6,Proisotoma minuta,16
70,6,Parisotoma notabilis,8
70,6,Lepidocyrtus pallidus,92
70,7,Supraphorura furcifer,176
70,7,Folsomia similis,208
70,7,Folsomides parvulus,256
70,7,Proisotoma subminuta,112
70,7,Isotomiella minor,112
70,7,Isotomurus sp. juv.,16
70,7,Megalothorax minimus,16
70,8,Micranurida pygmaea,4
70,8,Thalassaphorura encarpata,88
70,8,Mesaphorura macrochaeta,8
70,8,Mesaphorura hylophila,8
70,8,Folsomia similis,107
70,8,Parisotoma notabilis,200
70,8,Isotomurus maculatus,24
70,8,Heteromurus major,8
70,9,Hypogastrura assimilis,5
70,9,Ceratophysella sp. juv.,3
70,9,Brachystomella parvula,3
70,9,Thalassaphorura encarpata,18
70,9,Mesaphorura macrochaeta,3
70,9,Mesaphorura sp. juv.,1
70,9,Folsomia similis,2
70,9,Hemisotoma thermophila,15
70,9,Isotoma sp. juv.,1
70,9,Parisotoma notabilis,11
70,9,Isotomurus pseudopalustris,1
70,9,Isotomurus maculatus,4
70,9,Lepidocyrtus pallidus,2
70,9,Heteromurus major,8
70,9,Sminthurinus trinotatus,1
70,10,Brachystomella parvula,4
70,10,Friesea truncata,16
70,10,Thalassaphorura encarpata,4
70,10,Mesaphorura macrochaeta,4
70,10,Folsomia litsteri,4
70,10,Folsomides parvulus,4
70,10,Parisotoma notabilis,340
70,10,Isotomurus pseudopalustris,88
70,10,Isotomurus maculatus,68
70,10,Isotomurus sp. juv.,104
71,1,Mesaphorura macrochaeta,4
71,1,Isotomiella minor,1
71,2,Mesaphorura macrochaeta,1
71,3,Friesea truncata,8
71,3,Thalassaphorura encarpata,4
71,3,Mesaphorura macrochaeta,176
71,4,Friesea truncata,2
71,4,Mesaphorura macrochaeta,48
71,4,Folsomides sp.,2
71,4,Isotomiella minor,1
71,4,Parisotoma notabilis,4
71,4,Entomobrya nigrocincta/multifasciata,1
71,5,Friesea truncata,4
71,5,Mesaphorura macrochaeta,32
71,5,Isotomurus sp. juv.,4
71,6,Brachystomella parvula,4
71,6,Mesaphorura macrochaeta,28
71,6,Entomobrya nigrocincta/multifasciata,8
71,7,Friesea truncata,1
71,7,Mesaphorura macrochaeta,33
71,7,Isotomiella minor,1
71,7,Isotomurus sp. juv.,1
71,8,Friesea truncata,12
71,8,Thalassaphorura encarpata,196
71,8,Isotomurus sp. juv.,4
71,8,Entomobrya sp.,4
71,9,Mesaphorura macrochaeta,39
71,9,Isotomurus sp. juv.,1
71,9,Entomobrya nigrocincta/multifasciata,1
71,10,Mesaphorura macrochaeta,32
71,10,Parisotoma notabilis,8
72,1,Thalassaphorura encarpata,18
72,1,Mesaphorura yosii,4
