species_latin,stadium,indetermined,autorstring,native,alien,blacklist_cat
Meotica sp.,adult,TRUE,NA,FALSE,TRUE,NA
Meotica sp. A,adult,TRUE,NA,FALSE,FALSE,NA
Meotica sp. B,adult,TRUE,NA,FALSE,FALSE,NA
Mermessus denticulatus,adult,FALSE,NA,FALSE,TRUE,NA
Mermessus trilobatus,adult,FALSE,NA,FALSE,TRUE,NA
Mermessus trilobatus/denticulatus,adult,TRUE,NA,FALSE,TRUE,NA
Mesaphorura critica,adult,FALSE,"Ellis, 1976",TRUE,FALSE,NA
Mesaphorura delamarei,adult,FALSE,"Weiner, 1991",FALSE,TRUE,NA
Mesaphorura hylophila,adult,FALSE,"Rusek, 1982",TRUE,FALSE,NA
Mesaphorura italica,adult,FALSE,"(Rusek, 1971)",TRUE,FALSE,NA
Mesaphorura jarmilae,adult,FALSE,"Rusek, 1982",TRUE,FALSE,NA
Mesaphorura jevanica,adult,FALSE,"Rusek, 1996",FALSE,TRUE,NA
Mesaphorura jirii,adult,FALSE,"Rusek, 1982",TRUE,FALSE,NA
Mesaphorura krausbaueri,adult,FALSE,"Börner, 1901",TRUE,FALSE,NA
Mesaphorura macrochaeta,adult,FALSE,"Rusek, 1976",TRUE,FALSE,NA
Mesaphorura pongei,adult,FALSE,"Rusek, 1982",TRUE,FALSE,NA
Mesaphorura simoni,adult,FALSE,"Jordana & Arbea, 1994",FALSE,TRUE,NA
Mesaphorura sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Mesaphorura tenuisensillata,adult,FALSE,"Rusek, 1974",TRUE,FALSE,NA
Mesaphorura yosii,adult,FALSE,"(Rusek, 1971)",TRUE,FALSE,NA
Metabletus truncatellus,adult,FALSE,NA,TRUE,FALSE,NA
Metopsia clypeata,adult,FALSE,NA,TRUE,FALSE,NA
Micranurida pygmaea,adult,FALSE,"Börner, 1901",TRUE,FALSE,NA
Micranurophorus musci,adult,FALSE,"Bernard, 1977",TRUE,FALSE,NA
Micraphorura absoloni,adult,FALSE,"(Börner, 1901)",TRUE,FALSE,NA
Micropeplus porcatus,adult,FALSE,NA,TRUE,FALSE,NA
Monotoma brevicollis,adult,FALSE,NA,TRUE,FALSE,NA
Morychus aeneus,adult,FALSE,NA,TRUE,FALSE,NA
Murcrosomia garretti,adult,FALSE,"(Bagnall, 1939)",FALSE,TRUE,NA
Mycetoporus baudueri,adult,FALSE,NA,FALSE,FALSE,NA
Myrmica rubra,adult,FALSE,NA,TRUE,FALSE,NA
Myrmica ruginodis,adult,FALSE,(skogeitermaur),TRUE,FALSE,NA
Neanura muscorum,adult,FALSE,"(Templeton, 1835)",TRUE,FALSE,NA
Nematoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Neuraphes sp.,adult,TRUE,NA,FALSE,FALSE,NA
Neuroptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Nysius ericae,adult,FALSE,NA,TRUE,FALSE,NA
Nysius senecionis,adult,FALSE,NA,FALSE,TRUE,NR
Olibrus aeneus,adult,FALSE,NA,TRUE,FALSE,NA
Oligochaeta spp.,adult,TRUE,NA,FALSE,FALSE,NA
Oligota pusillima,adult,FALSE,NA,TRUE,FALSE,NA
Omalium rivulare,adult,FALSE,NA,TRUE,FALSE,NA
Oniscidea spp.,adult,TRUE,NA,FALSE,FALSE,NA
Onychiurus cf. volinensis,adult,FALSE,NA,FALSE,TRUE,NA
Onychiurus folsomi,adult,FALSE,"(Schäffer, 1900)",TRUE,FALSE,NA
Onychiurus normalis,adult,FALSE,"Gisin, 1949",FALSE,TRUE,LO
Opiliones spp.,adult,TRUE,NA,FALSE,FALSE,NA
Orchesella cincta,adult,FALSE,"(Linnaeus, 1758)",TRUE,FALSE,NA
Orchesella sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Orius sp.,adult,TRUE,NA,FALSE,FALSE,NA
Ostearius melanopygius,adult,FALSE,NA,FALSE,TRUE,PH
Othius laeviusculus,adult,FALSE,NA,FALSE,TRUE,NA
Otiorhynchus ovatus,adult,FALSE,NA,TRUE,FALSE,NA
Otiorhynchus sulcatus,adult,FALSE,NA,FALSE,FALSE,NA
Oxidus gracilis,adult,FALSE,"(""drivhustusenbein"")",FALSE,TRUE,NR
Oxypoda exoleta,adult,FALSE,NA,TRUE,FALSE,NA
Oxypoda sp.1,adult,TRUE,NA,FALSE,FALSE,NA
Oxypoda sp.2,adult,TRUE,NA,FALSE,TRUE,NA
Oxypoda sp.3,adult,TRUE,NA,FALSE,FALSE,NA
Oxypoda sp.4,adult,TRUE,NA,FALSE,FALSE,NA
Oxypoda sp.5,adult,TRUE,NA,FALSE,FALSE,NA
Oxypoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Ozyptila sp. juv.,juvenile,TRUE,NA,TRUE,FALSE,NA
Paralister purpurascens,adult,FALSE,NA,TRUE,FALSE,NA
Paranurophorus simplex,adult,FALSE,"Denis, 1929",FALSE,TRUE,NA
Parascythopus intrusus,adult,FALSE,NA,FALSE,FALSE,NA
Parasitica spp.,adult,TRUE,NA,FALSE,FALSE,NA
Paratullbergia callipygos,adult,FALSE,"(Börner, 1902)",TRUE,FALSE,NA
Paratullbergia macdougalli,adult,FALSE," Bagnall, 1936",FALSE,TRUE,NA
Parisotoma notabilis,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Pelecopsis mengei,adult,FALSE,NA,TRUE,FALSE,NA
Peponocranium ludicrum,adult,FALSE,NA,TRUE,FALSE,NA
Perapion marchicum,adult,FALSE,NA,TRUE,FALSE,NA
Pheidole pallidula,adult,FALSE,NA,FALSE,TRUE,NR
Philonthus cognatus,adult,FALSE,NA,TRUE,FALSE,NA
Plagiolepis pygmaea,adult,FALSE,NA,FALSE,TRUE,NR
Plagiolepis vindobonensis,adult,FALSE,NA,FALSE,TRUE,NR
Platystethus capito,adult,FALSE,NA,FALSE,TRUE,NA
Platystethus degener,adult,FALSE,NA,FALSE,TRUE,LO
Pleurophorus caesus,adult,FALSE,NA,FALSE,TRUE,NR
Polyxenus lagurus,adult,FALSE,NA,FALSE,FALSE,NA
Ponera testacea,adult,FALSE,NA,FALSE,TRUE,NR
Pongeiella falca,adult,FALSE,"(Christiansen & Bellinger, 1980)",TRUE,FALSE,NA
Proisotoma minuta,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Proisotoma subminuta,adult,FALSE,"Denis, 1931",FALSE,TRUE,LO
Protaphorura armata,adult,FALSE,"(Tullberg, 1869)",TRUE,FALSE,NA
Protaphorura cancellata,adult,FALSE,"(Gisin, 1956)",TRUE,FALSE,NA
Protaphorura fimata,adult,FALSE,"(Gisin, 1952)",FALSE,TRUE,LO
Protaphorura pulvinata,adult,FALSE,"(Gisin, 1954)",FALSE,TRUE,NA
Protaphorura sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Protaphorura subuliginata,adult,FALSE,NA,FALSE,FALSE,NA
Protapion fulvipes,adult,FALSE,NA,TRUE,FALSE,NA
Proteinus laevigatus,adult,FALSE,NA,TRUE,FALSE,NA
Proteinus ovalis,adult,FALSE,NA,FALSE,TRUE,NA
Pseudachorutes parvulus,adult,FALSE,"Börner, 1901",TRUE,FALSE,NA
Pseudisotoma monochaeta,adult,FALSE,"(Kos, 1942)",TRUE,FALSE,NA
Pseudisotoma sensibilis,adult,FALSE," (Tullberg, 1876)",TRUE,FALSE,NA
Pseudoscorpiones spp.,adult,TRUE,NA,FALSE,FALSE,NA
Pseudosinella alba,adult,FALSE,NA,FALSE,FALSE,NA
Pseudosinella sexoculata,adult,FALSE,"Schött, 1902",TRUE,FALSE,NA
Pseudosinella sp.,adult,TRUE,NA,FALSE,TRUE,NA
Psocoptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Ptenidium nitidum,adult,FALSE,NA,TRUE,FALSE,NA
Quedius semiaeneus,adult,FALSE,NA,FALSE,TRUE,NA
Rabigus pullus,adult,FALSE,NA,FALSE,TRUE,NR
Rhinoncus perpendicularis,adult,FALSE,NA,TRUE,FALSE,NA
Schistoglossa curtipennis,adult,FALSE,NA,TRUE,FALSE,NA
Scolopostethus affinis,adult,FALSE,NA,TRUE,FALSE,NA
Scopaeus cf. ryei,adult,FALSE,NA,FALSE,TRUE,NR
Scopaeus laevigatus,adult,FALSE,NA,TRUE,FALSE,NA
Scopaeus sp. A,adult,TRUE,NA,FALSE,TRUE,NA
Sericoderus lateralis,adult,FALSE,NA,TRUE,FALSE,NA
Silometopus ambiguus,adult,FALSE,NA,TRUE,FALSE,NA
Simplocaria semistriata,adult,FALSE,NA,TRUE,FALSE,NA
Sinella tenebricosa,adult,FALSE,"Folsom, 1902",FALSE,TRUE,LO
Sminthurides sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Sminthurinus elegans,adult,FALSE,"(Fitch, 1863)",TRUE,FALSE,NA
Sminthurinus lawrencei,adult,FALSE,"(Gisin, 1963)",FALSE,TRUE,NA
Sminthurinus niger,adult,FALSE,"(Lubbock, 1868)",FALSE,TRUE,LO
Sminthurinus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Sminthurinus trinotatus,adult,FALSE,"Axelson, 1905",FALSE,TRUE,LO
Solenopsis fugax,adult,FALSE,NA,FALSE,TRUE,LO
Sphaeridia pumilis,adult,FALSE,"(Krausbauert, 1898)",TRUE,FALSE,NA
Steatoda bipunctata,adult,FALSE,NA,TRUE,FALSE,NA
Stenaphorura lubbocki,adult,FALSE,"Bagnall, 1935",TRUE,FALSE,NA
Stenichnus sp.,adult,TRUE,NA,FALSE,FALSE,NA
Stenus argus,adult,FALSE,NA,TRUE,FALSE,NA
Stenus impressus,adult,FALSE,NA,TRUE,FALSE,NA
Stenus juno,adult,FALSE,NA,TRUE,FALSE,NA
Stephostethus lardarius,adult,FALSE,NA,TRUE,FALSE,NA
Sternorrhyncha spp. juv.,nymph,TRUE,NA,FALSE,FALSE,NA
Strumigenys membranifera,adult,FALSE,NA,FALSE,TRUE,NR
Supraphorura furcifer,adult,FALSE,NA,FALSE,FALSE,NA
Symphyla spp.,adult,TRUE,NA,FALSE,FALSE,NA
Symphyta spp. juv.,larvae,TRUE,NA,FALSE,FALSE,NA
Tachyporus cf. pusillus,adult,FALSE,NA,TRUE,FALSE,NA
Tachyporus chrysomelinus,adult,FALSE,NA,FALSE,FALSE,NA
Tachyporus dispar,adult,FALSE,NA,TRUE,FALSE,NA
Tachyporus nitidulus,adult,FALSE,NA,TRUE,FALSE,NA
Tachyporus obtusus,adult,FALSE,NA,TRUE,FALSE,NA
Tachyura parvula,adult,FALSE,NA,FALSE,TRUE,NA
Tapinoma magnum,adult,FALSE,NA,FALSE,TRUE,NR
Telmatophilus typhae,adult,FALSE,NA,FALSE,FALSE,NA
Temnothorax nylanderi,adult,FALSE,NA,TRUE,FALSE,NA
Temnothorax sp.,adult,TRUE,NA,FALSE,FALSE,NA
Tetramorium caespitum,adult,FALSE,NA,TRUE,FALSE,NA
Tetramorium semilaeve,adult,FALSE,NA,FALSE,TRUE,NR
Thalassaphorura encarpata,adult,FALSE,"(Denis, 1931)",FALSE,TRUE,LO
Thecturota marchii,adult,FALSE,NA,FALSE,TRUE,LO
Theridiidae spp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Thyreosthenius parasiticus,adult,FALSE,NA,FALSE,FALSE,NA
Thysanoptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
