id,species_latin,species_norsk,autorstreng,native,alien
eaa25b40-bc08-11e8-8f34-001cc4ddf696,Mandevilla sanderi,NA,NA,TRUE,FALSE
954964c4-2200-11e8-8b3b-001cc4ddf696,Matricaria chamomilla,kamilleblom,NA,TRUE,FALSE
718e5c90-e5b1-11e8-9f85-001cc4ddf696,Matricaria discoidea,NA,NA,TRUE,FALSE
95496686-2200-11e8-8b3b-001cc4ddf696,Matricaria perforata,balderbrå,NA,TRUE,FALSE
718e72c4-e5b2-11e8-9f85-001cc4ddf696,Medicago,NA,NA,TRUE,FALSE
679fff1c-e5b2-11e8-9f85-001cc4ddf696,Medicago polymorpha,NA,NA,TRUE,FALSE
95496852-2200-11e8-8b3b-001cc4ddf696,Mercurialis annua,ugrasbingel,NA,FALSE,TRUE
bf083676-bc08-11e8-8f34-001cc4ddf696,Mesembryanthemum criniflorum,NA,NA,TRUE,FALSE
95496a1e-2200-11e8-8b3b-001cc4ddf696,Microbiota decussata,Småbiota,NA,TRUE,FALSE
4b95e2c4-bc08-11e8-8f34-001cc4ddf696,Miscanthus,NA,NA,TRUE,FALSE
5db21eba-bc07-11e8-8f34-001cc4ddf696,Miscanthus sinensis,NA,NA,TRUE,FALSE
95496be0-2200-11e8-8b3b-001cc4ddf696,Montia fontana,NA,NA,FALSE,TRUE
ef5c8fe2-ff11-11ea-aa56-48df374274e0,Nepeta,NA,NA,NA,NA
95496da2-2200-11e8-8b3b-001cc4ddf696,Nerium oleander,Oleander,NA,TRUE,FALSE
954970ae-2200-11e8-8b3b-001cc4ddf696,Ocimum basilicum,Basilikum,NA,TRUE,FALSE
9549727a-2200-11e8-8b3b-001cc4ddf696,Olea europaea,Oliven,NA,TRUE,FALSE
9548a61a-2200-11e8-8b3b-001cc4ddf696,Omalotheca sylvatica,Flaskebørste,NA,TRUE,FALSE
9549743c-2200-11e8-8b3b-001cc4ddf696,Origanum vulgare,Oregano,NA,TRUE,FALSE
e4a9b742-bc08-11e8-8f34-001cc4ddf696,Osteospermum,NA,NA,TRUE,FALSE
954975fe-2200-11e8-8b3b-001cc4ddf696,Oxalis corniculata,krypgjøkesyre,NA,FALSE,TRUE
9548b272-2200-11e8-8b3b-001cc4ddf696,Oxalis corniculata var. atropurpurea,Trompettre,NA,TRUE,FALSE
